sub_system,k,sigma,seed,clean_recovery,n_generators
entangled_two_invariant,1.5,0.01,18,False,1
entangled_two_invariant,1.5,0.01,19,True,2
entangled_two_invariant,1.5,0.01,20,True,2
entangled_two_invariant,1.5,0.01,21,False,2
entangled_two_invariant,1.5,0.01,22,False,1
entangled_two_invariant,1.5,0.01,23,False,1
entangled_two_invariant,1.5,0.01,24,True,2
entangled_two_invariant,1.5,0.01,25,False,1
entangled_two_invariant,1.5,0.01,26,False,1
entangled_two_invariant,1.5,0.01,27,False,1
entangled_two_invariant,1.5,0.01,28,False,1
entangled_two_invariant,1.5,0.01,29,True,2
entangled_two_invariant,2.0,0.01,0,True,2
entangled_two_invariant,2.0,0.01,1,True,2
entangled_two_invariant,2.0,0.01,2,False,2
entangled_two_invariant,2.0,0.01,3,True,2
entangled_two_invariant,2.0,0.01,4,False,2
entangled_two_invariant,2.0,0.01,5,False,2
entangled_two_invariant,2.0,0.01,6,True,2
entangled_two_invariant,2.0,0.01,7,False,2
entangled_two_invariant,2.0,0.01,8,False,2
entangled_two_invariant,2.0,0.01,9,False,2
entangled_two_invariant,2.0,0.01,10,False,2
entangled_two_invariant,2.0,0.01,11,True,2
entangled_two_invariant,2.0,0.01,12,False,2
entangled_two_invariant,2.0,0.01,13,False,1
entangled_two_invariant,2.0,0.01,14,False,1
entangled_two_invariant,2.0,0.01,15,False,1
entangled_two_invariant,2.0,0.01,16,False,2
entangled_two_invariant,2.0,0.01,17,False,2
entangled_two_invariant,2.0,0.01,18,False,1
entangled_two_invariant,2.0,0.01,19,True,2
entangled_two_invariant,2.0,0.01,20,True,2
entangled_two_invariant,2.0,0.01,21,False,2
entangled_two_invariant,2.0,0.01,22,False,1
entangled_two_invariant,2.0,0.01,23,False,1
entangled_two_invariant,2.0,0.01,24,True,2
entangled_two_invariant,2.0,0.01,25,False,1
entangled_two_invariant,2.0,0.01,26,False,1
entangled_two_invariant,2.0,0.01,27,False,1
entangled_two_invariant,2.0,0.01,28,False,1
entangled_two_invariant,2.0,0.01,29,True,2
entangled_two_invariant,2.5,0.01,0,True,2
entangled_two_invariant,2.5,0.01,1,True,2
entangled_two_invariant,2.5,0.01,2,False,2
entangled_two_invariant,2.5,0.01,3,True,2
entangled_two_invariant,2.5,0.01,4,False,2
entangled_two_invariant,2.5,0.01,5,False,2
entangled_two_invariant,2.5,0.01,6,True,2
entangled_two_invariant,2.5,0.01,7,False,2
entangled_two_invariant,2.5,0.01,8,False,2
entangled_two_invariant,2.5,0.01,9,False,2
entangled_two_invariant,2.5,0.01,10,False,2
entangled_two_invariant,2.5,0.01,11,True,2
entangled_two_invariant,2.5,0.01,12,False,2
entangled_two_invariant,2.5,0.01,13,False,1
entangled_two_invariant,2.5,0.01,14,False,1
entangled_two_invariant,2.5,0.01,15,False,1
entangled_two_invariant,2.5,0.01,16,False,2
entangled_two_invariant,2.5,0.01,17,False,2
entangled_two_invariant,2.5,0.01,18,False,1
entangled_two_invariant,2.5,0.01,19,True,2
entangled_two_invariant,2.5,0.01,20,True,2
entangled_two_invariant,2.5,0.01,21,False,2
entangled_two_invariant,2.5,0.01,22,False,1
entangled_two_invariant,2.5,0.01,23,False,1
entangled_two_invariant,2.5,0.01,24,True,2
entangled_two_invariant,2.5,0.01,25,False,1
entangled_two_invariant,2.5,0.01,26,False,1
entangled_two_invariant,2.5,0.01,27,False,1
entangled_two_invariant,2.5,0.01,28,False,1
entangled_two_invariant,2.5,0.01,29,True,2
entangled_two_invariant,3.0,0.01,0,True,2
entangled_two_invariant,3.0,0.01,1,True,2
entangled_two_invariant,3.0,0.01,2,False,2
entangled_two_invariant,3.0,0.01,3,True,2
entangled_two_invariant,3.0,0.01,4,False,2
entangled_two_invariant,3.0,0.01,5,False,2
entangled_two_invariant,3.0,0.01,6,True,2
entangled_two_invariant,3.0,0.01,7,False,2
entangled_two_invariant,3.0,0.01,8,False,2
entangled_two_invariant,3.0,0.01,9,False,2
entangled_two_invariant,3.0,0.01,10,False,2
entangled_two_invariant,3.0,0.01,11,True,2
entangled_two_invariant,3.0,0.01,12,False,2
entangled_two_invariant,3.0,0.01,13,False,1
entangled_two_invariant,3.0,0.01,14,False,1
entangled_two_invariant,3.0,0.01,15,False,1
entangled_two_invariant,3.0,0.01,16,False,2
entangled_two_invariant,3.0,0.01,17,False,2
entangled_two_invariant,3.0,0.01,18,False,1
entangled_two_invariant,3.0,0.01,19,True,2
entangled_two_invariant,3.0,0.01,20,True,2
entangled_two_invariant,3.0,0.01,21,False,2
entangled_two_invariant,3.0,0.01,22,False,1
entangled_two_invariant,3.0,0.01,23,False,1
entangled_two_invariant,3.0,0.01,24,True,2
entangled_two_invariant,3.0,0.01,25,False,1
entangled_two_invariant,3.0,0.01,26,False,1
entangled_two_invariant,3.0,0.01,27,False,1
entangled_two_invariant,3.0,0.01,28,False,1
entangled_two_invariant,3.0,0.01,29,True,2
entangled_two_invariant,3.5,0.01,0,True,2
entangled_two_invariant,3.5,0.01,1,True,2
entangled_two_invariant,3.5,0.01,2,False,2
entangled_two_invariant,3.5,0.01,3,True,2
entangled_two_invariant,3.5,0.01,4,False,2
entangled_two_invariant,3.5,0.01,5,False,2
entangled_two_invariant,3.5,0.01,6,True,2
entangled_two_invariant,3.5,0.01,7,False,2
entangled_two_invariant,3.5,0.01,8,False,2
entangled_two_invariant,3.5,0.01,9,False,2
entangled_two_invariant,3.5,0.01,10,False,2
entangled_two_invariant,3.5,0.01,11,True,2
entangled_two_invariant,3.5,0.01,12,False,2
entangled_two_invariant,3.5,0.01,13,False,1
entangled_two_invariant,3.5,0.01,14,False,1
entangled_two_invariant,3.5,0.01,15,False,1
entangled_two_invariant,3.5,0.01,16,False,2
entangled_two_invariant,3.5,0.01,17,False,2
entangled_two_invariant,3.5,0.01,18,False,1
entangled_two_invariant,3.5,0.01,19,True,2
entangled_two_invariant,3.5,0.01,20,True,2
entangled_two_invariant,3.5,0.01,21,False,2
entangled_two_invariant,3.5,0.01,22,False,1
entangled_two_invariant,3.5,0.01,23,False,1
entangled_two_invariant,3.5,0.01,24,True,2
entangled_two_invariant,3.5,0.01,25,False,1
entangled_two_invariant,3.5,0.01,26,False,1
entangled_two_invariant,3.5,0.01,27,False,1
entangled_two_invariant,3.5,0.01,28,False,1
entangled_two_invariant,3.5,0.01,29,True,2
entangled_two_invariant,4.0,0.01,0,True,2
entangled_two_invariant,4.0,0.01,1,True,2
entangled_two_invariant,4.0,0.01,2,False,2
entangled_two_invariant,4.0,0.01,3,True,2
entangled_two_invariant,4.0,0.01,4,False,2
entangled_two_invariant,4.0,0.01,5,False,2
entangled_two_invariant,4.0,0.01,6,True,2
entangled_two_invariant,4.0,0.01,7,False,2
entangled_two_invariant,4.0,0.01,8,False,2
entangled_two_invariant,4.0,0.01,9,False,2
entangled_two_invariant,4.0,0.01,10,False,2
entangled_two_invariant,4.0,0.01,11,True,2
entangled_two_invariant,4.0,0.01,12,False,2
entangled_two_invariant,4.0,0.01,13,False,1
entangled_two_invariant,4.0,0.01,14,False,1
entangled_two_invariant,4.0,0.01,15,False,1
entangled_two_invariant,4.0,0.01,16,False,2
entangled_two_invariant,4.0,0.01,17,False,2
entangled_two_invariant,4.0,0.01,18,False,1
entangled_two_invariant,4.0,0.01,19,True,2
entangled_two_invariant,4.0,0.01,20,True,2
entangled_two_invariant,4.0,0.01,21,False,2
entangled_two_invariant,4.0,0.01,22,False,1
entangled_two_invariant,4.0,0.01,23,False,1
entangled_two_invariant,4.0,0.01,24,True,2
entangled_two_invariant,4.0,0.01,25,False,1
entangled_two_invariant,4.0,0.01,26,False,1
entangled_two_invariant,4.0,0.01,27,False,1
entangled_two_invariant,4.0,0.01,28,False,1
entangled_two_invariant,4.0,0.01,29,True,2
entangled_two_invariant,5.0,0.01,0,True,2
entangled_two_invariant,5.0,0.01,1,True,2
entangled_two_invariant,5.0,0.01,2,False,2
entangled_two_invariant,5.0,0.01,3,True,2
entangled_two_invariant,5.0,0.01,4,False,2
entangled_two_invariant,5.0,0.01,5,False,2
entangled_two_invariant,5.0,0.01,6,True,2
entangled_two_invariant,5.0,0.01,7,False,2
entangled_two_invariant,5.0,0.01,8,False,2
entangled_two_invariant,5.0,0.01,9,False,2
entangled_two_invariant,5.0,0.01,10,False,2
entangled_two_invariant,5.0,0.01,11,True,2
entangled_two_invariant,5.0,0.01,12,False,2
entangled_two_invariant,5.0,0.01,13,False,1
entangled_two_invariant,5.0,0.01,14,False,1
entangled_two_invariant,5.0,0.01,15,False,1
entangled_two_invariant,5.0,0.01,16,False,2
entangled_two_invariant,5.0,0.01,17,False,2
entangled_two_invariant,5.0,0.01,18,False,1
entangled_two_invariant,5.0,0.01,19,True,2
entangled_two_invariant,5.0,0.01,20,True,2
entangled_two_invariant,5.0,0.01,21,False,2
entangled_two_invariant,5.0,0.01,22,False,1
entangled_two_invariant,5.0,0.01,23,False,1
entangled_two_invariant,5.0,0.01,24,True,2
entangled_two_invariant,5.0,0.01,25,False,1
entangled_two_invariant,5.0,0.01,26,False,1
entangled_two_invariant,5.0,0.01,27,False,1
entangled_two_invariant,5.0,0.01,28,False,1
entangled_two_invariant,5.0,0.01,29,True,2
entangled_two_invariant,7.0,0.01,0,True,2
entangled_two_invariant,7.0,0.01,1,True,2
entangled_two_invariant,7.0,0.01,2,False,2
entangled_two_invariant,7.0,0.01,3,True,2
entangled_two_invariant,7.0,0.01,4,False,2
entangled_two_invariant,7.0,0.01,5,False,2
entangled_two_invariant,7.0,0.01,6,True,2
entangled_two_invariant,7.0,0.01,7,False,2
entangled_two_invariant,7.0,0.01,8,False,2
entangled_two_invariant,7.0,0.01,9,False,2
entangled_two_invariant,7.0,0.01,10,False,2
entangled_two_invariant,7.0,0.01,11,True,2
entangled_two_invariant,7.0,0.01,12,False,2
entangled_two_invariant,7.0,0.01,13,False,1
entangled_two_invariant,7.0,0.01,14,False,1
entangled_two_invariant,7.0,0.01,15,False,1
entangled_two_invariant,7.0,0.01,16,False,2
entangled_two_invariant,7.0,0.01,17,False,2
entangled_two_invariant,7.0,0.01,18,False,1
entangled_two_invariant,7.0,0.01,19,True,2
entangled_two_invariant,7.0,0.01,20,True,2
entangled_two_invariant,7.0,0.01,21,False,2
entangled_two_invariant,7.0,0.01,22,False,1
entangled_two_invariant,7.0,0.01,23,False,1
entangled_two_invariant,7.0,0.01,24,True,2
entangled_two_invariant,7.0,0.01,25,False,1
entangled_two_invariant,7.0,0.01,26,False,1
entangled_two_invariant,7.0,0.01,27,False,1
entangled_two_invariant,7.0,0.01,28,False,1
entangled_two_invariant,7.0,0.01,29,True,2
entangled_two_invariant,0.0,0.02,0,True,2
entangled_two_invariant,0.0,0.02,1,True,2
entangled_two_invariant,0.0,0.02,2,False,2
entangled_two_invariant,0.0,0.02,3,True,2
entangled_two_invariant,0.0,0.02,4,False,2
entangled_two_invariant,0.0,0.02,5,False,2
entangled_two_invariant,0.0,0.02,6,True,2
entangled_two_invariant,0.0,0.02,7,False,1
entangled_two_invariant,0.0,0.02,8,False,1
entangled_two_invariant,0.0,0.02,9,True,2
entangled_two_invariant,0.0,0.02,10,True,2
entangled_two_invariant,0.0,0.02,11,False,2
entangled_two_invariant,0.0,0.02,12,False,2
entangled_two_invariant,0.0,0.02,13,False,2
entangled_two_invariant,0.0,0.02,14,False,2
entangled_two_invariant,0.0,0.02,15,True,2
entangled_two_invariant,0.0,0.02,16,False,2
entangled_two_invariant,0.0,0.02,17,False,2
entangled_two_invariant,0.0,0.02,18,True,2
entangled_two_invariant,0.0,0.02,19,True,2
entangled_two_invariant,0.0,0.02,20,False,2
entangled_two_invariant,0.0,0.02,21,False,2
entangled_two_invariant,0.0,0.02,22,False,1
entangled_two_invariant,0.0,0.02,23,False,2
entangled_two_invariant,0.0,0.02,24,True,2
entangled_two_invariant,0.0,0.02,25,False,1
entangled_two_invariant,0.0,0.02,26,True,2
entangled_two_invariant,0.0,0.02,27,False,2
entangled_two_invariant,0.0,0.02,28,False,2
entangled_two_invariant,0.0,0.02,29,True,2
entangled_two_invariant,1.0,0.02,0,True,2
entangled_two_invariant,1.0,0.02,1,True,2
entangled_two_invariant,1.0,0.02,2,False,2
entangled_two_invariant,1.0,0.02,3,True,2
entangled_two_invariant,1.0,0.02,4,False,2
entangled_two_invariant,1.0,0.02,5,False,2
entangled_two_invariant,1.0,0.02,6,True,2
entangled_two_invariant,1.0,0.02,7,False,1
entangled_two_invariant,1.0,0.02,8,False,1
entangled_two_invariant,1.0,0.02,9,True,2
entangled_two_invariant,1.0,0.02,10,True,2
entangled_two_invariant,1.0,0.02,11,False,2
entangled_two_invariant,1.0,0.02,12,False,2
entangled_two_invariant,1.0,0.02,13,False,2
entangled_two_invariant,1.0,0.02,14,False,2
entangled_two_invariant,1.0,0.02,15,True,2
entangled_two_invariant,1.0,0.02,16,False,2
entangled_two_invariant,1.0,0.02,17,False,2
entangled_two_invariant,1.0,0.02,18,True,2
entangled_two_invariant,1.0,0.02,19,True,2
entangled_two_invariant,1.0,0.02,20,False,2
entangled_two_invariant,1.0,0.02,21,False,2
entangled_two_invariant,1.0,0.02,22,False,1
entangled_two_invariant,1.0,0.02,23,False,2
entangled_two_invariant,1.0,0.02,24,True,2
entangled_two_invariant,1.0,0.02,25,False,1
entangled_two_invariant,1.0,0.02,26,True,2
entangled_two_invariant,1.0,0.02,27,False,2
entangled_two_invariant,1.0,0.02,28,False,2
entangled_two_invariant,1.0,0.02,29,True,2
entangled_two_invariant,1.5,0.02,0,True,2
entangled_two_invariant,1.5,0.02,1,True,2
entangled_two_invariant,1.5,0.02,2,False,2
entangled_two_invariant,1.5,0.02,3,True,2
entangled_two_invariant,1.5,0.02,4,False,2
entangled_two_invariant,1.5,0.02,5,False,2
entangled_two_invariant,1.5,0.02,6,True,2
entangled_two_invariant,1.5,0.02,7,False,1
entangled_two_invariant,1.5,0.02,8,False,1
entangled_two_invariant,1.5,0.02,9,True,2
entangled_two_invariant,1.5,0.02,10,True,2
entangled_two_invariant,1.5,0.02,11,False,2
entangled_two_invariant,1.5,0.02,12,False,2
entangled_two_invariant,1.5,0.02,13,False,2
entangled_two_invariant,1.5,0.02,14,False,2
entangled_two_invariant,1.5,0.02,15,True,2
entangled_two_invariant,1.5,0.02,16,False,2
entangled_two_invariant,1.5,0.02,17,False,2
entangled_two_invariant,1.5,0.02,18,True,2
entangled_two_invariant,1.5,0.02,19,True,2
entangled_two_invariant,1.5,0.02,20,False,2
entangled_two_invariant,1.5,0.02,21,False,2
entangled_two_invariant,1.5,0.02,22,False,1
entangled_two_invariant,1.5,0.02,23,False,2
entangled_two_invariant,1.5,0.02,24,True,2
entangled_two_invariant,1.5,0.02,25,False,1
entangled_two_invariant,1.5,0.02,26,True,2
entangled_two_invariant,1.5,0.02,27,False,2
entangled_two_invariant,1.5,0.02,28,False,2
entangled_two_invariant,1.5,0.02,29,True,2
entangled_two_invariant,2.0,0.02,0,True,2
entangled_two_invariant,2.0,0.02,1,True,2
entangled_two_invariant,2.0,0.02,2,False,2
entangled_two_invariant,2.0,0.02,3,True,2
entangled_two_invariant,2.0,0.02,4,False,2
entangled_two_invariant,2.0,0.02,5,False,2
entangled_two_invariant,2.0,0.02,6,True,2
entangled_two_invariant,2.0,0.02,7,False,1
entangled_two_invariant,2.0,0.02,8,False,1
entangled_two_invariant,2.0,0.02,9,True,2
entangled_two_invariant,2.0,0.02,10,True,2
entangled_two_invariant,2.0,0.02,11,False,2
entangled_two_invariant,2.0,0.02,12,False,2
entangled_two_invariant,2.0,0.02,13,False,2
entangled_two_invariant,2.0,0.02,14,False,2
entangled_two_invariant,2.0,0.02,15,True,2
entangled_two_invariant,2.0,0.02,16,False,2
entangled_two_invariant,2.0,0.02,17,False,2
entangled_two_invariant,2.0,0.02,18,True,2
entangled_two_invariant,2.0,0.02,19,True,2
entangled_two_invariant,2.0,0.02,20,False,2
entangled_two_invariant,2.0,0.02,21,False,2
entangled_two_invariant,2.0,0.02,22,False,1
entangled_two_invariant,2.0,0.02,23,False,2
entangled_two_invariant,2.0,0.02,24,True,2
entangled_two_invariant,2.0,0.02,25,False,1
entangled_two_invariant,2.0,0.02,26,True,2
entangled_two_invariant,2.0,0.02,27,False,2
entangled_two_invariant,2.0,0.02,28,False,2
entangled_two_invariant,2.0,0.02,29,True,2
entangled_two_invariant,2.5,0.02,0,True,2
entangled_two_invariant,2.5,0.02,1,True,2
entangled_two_invariant,2.5,0.02,2,False,2
entangled_two_invariant,2.5,0.02,3,True,2
entangled_two_invariant,2.5,0.02,4,False,2
entangled_two_invariant,2.5,0.02,5,False,2
entangled_two_invariant,2.5,0.02,6,True,2
entangled_two_invariant,2.5,0.02,7,False,1
entangled_two_invariant,2.5,0.02,8,False,1
entangled_two_invariant,2.5,0.02,9,True,2
entangled_two_invariant,2.5,0.02,10,True,2
entangled_two_invariant,2.5,0.02,11,False,2
entangled_two_invariant,2.5,0.02,12,False,2
entangled_two_invariant,2.5,0.02,13,False,2
entangled_two_invariant,2.5,0.02,14,False,2
entangled_two_invariant,2.5,0.02,15,True,2
entangled_two_invariant,2.5,0.02,16,False,2
entangled_two_invariant,2.5,0.02,17,False,2
entangled_two_invariant,2.5,0.02,18,True,2
entangled_two_invariant,2.5,0.02,19,True,2
entangled_two_invariant,2.5,0.02,20,False,2
entangled_two_invariant,2.5,0.02,21,False,2
entangled_two_invariant,2.5,0.02,22,False,1
entangled_two_invariant,2.5,0.02,23,False,2
entangled_two_invariant,2.5,0.02,24,True,2
entangled_two_invariant,2.5,0.02,25,False,1
entangled_two_invariant,2.5,0.02,26,True,2
entangled_two_invariant,2.5,0.02,27,False,2
entangled_two_invariant,2.5,0.02,28,False,2
entangled_two_invariant,2.5,0.02,29,True,2
entangled_two_invariant,3.0,0.02,0,True,2
entangled_two_invariant,3.0,0.02,1,True,2
entangled_two_invariant,3.0,0.02,2,False,2
entangled_two_invariant,3.0,0.02,3,True,2
entangled_two_invariant,3.0,0.02,4,False,2
entangled_two_invariant,3.0,0.02,5,False,2
entangled_two_invariant,3.0,0.02,6,True,2
entangled_two_invariant,3.0,0.02,7,False,1
entangled_two_invariant,3.0,0.02,8,False,1
entangled_two_invariant,3.0,0.02,9,True,2
entangled_two_invariant,3.0,0.02,10,True,2
entangled_two_invariant,3.0,0.02,11,False,2
entangled_two_invariant,3.0,0.02,12,False,2
entangled_two_invariant,3.0,0.02,13,False,2
entangled_two_invariant,3.0,0.02,14,False,2
entangled_two_invariant,3.0,0.02,15,True,2
entangled_two_invariant,3.0,0.02,16,False,2
entangled_two_invariant,3.0,0.02,17,False,2
entangled_two_invariant,3.0,0.02,18,True,2
entangled_two_invariant,3.0,0.02,19,True,2
entangled_two_invariant,3.0,0.02,20,False,2
entangled_two_invariant,3.0,0.02,21,False,2
entangled_two_invariant,3.0,0.02,22,False,1
entangled_two_invariant,3.0,0.02,23,False,2
entangled_two_invariant,3.0,0.02,24,True,2
entangled_two_invariant,3.0,0.02,25,False,1
entangled_two_invariant,3.0,0.02,26,True,2
entangled_two_invariant,3.0,0.02,27,False,2
entangled_two_invariant,3.0,0.02,28,False,2
entangled_two_invariant,3.0,0.02,29,True,2
entangled_two_invariant,3.5,0.02,0,True,2
entangled_two_invariant,3.5,0.02,1,True,2
entangled_two_invariant,3.5,0.02,2,False,2
entangled_two_invariant,3.5,0.02,3,True,2
entangled_two_invariant,3.5,0.02,4,False,2
entangled_two_invariant,3.5,0.02,5,False,2
entangled_two_invariant,3.5,0.02,6,True,2
entangled_two_invariant,3.5,0.02,7,False,1
entangled_two_invariant,3.5,0.02,8,False,1
entangled_two_invariant,3.5,0.02,9,True,2
entangled_two_invariant,3.5,0.02,10,True,2
entangled_two_invariant,3.5,0.02,11,False,2
entangled_two_invariant,3.5,0.02,12,False,2
entangled_two_invariant,3.5,0.02,13,False,2
entangled_two_invariant,3.5,0.02,14,False,2
entangled_two_invariant,3.5,0.02,15,True,2
entangled_two_invariant,3.5,0.02,16,False,2
entangled_two_invariant,3.5,0.02,17,False,2
entangled_two_invariant,3.5,0.02,18,True,2
entangled_two_invariant,3.5,0.02,19,True,2
entangled_two_invariant,3.5,0.02,20,False,2
entangled_two_invariant,3.5,0.02,21,False,2
entangled_two_invariant,3.5,0.02,22,False,1
entangled_two_invariant,3.5,0.02,23,False,2
entangled_two_invariant,3.5,0.02,24,True,2
entangled_two_invariant,3.5,0.02,25,False,1
entangled_two_invariant,3.5,0.02,26,True,2
entangled_two_invariant,3.5,0.02,27,False,2
entangled_two_invariant,3.5,0.02,28,False,2
entangled_two_invariant,3.5,0.02,29,True,2
entangled_two_invariant,4.0,0.02,0,True,2
entangled_two_invariant,4.0,0.02,1,True,2
entangled_two_invariant,4.0,0.02,2,False,2
entangled_two_invariant,4.0,0.02,3,True,2
entangled_two_invariant,4.0,0.02,4,False,2
entangled_two_invariant,4.0,0.02,5,False,2
entangled_two_invariant,4.0,0.02,6,True,2
entangled_two_invariant,4.0,0.02,7,False,1
entangled_two_invariant,4.0,0.02,8,False,1
entangled_two_invariant,4.0,0.02,9,True,2
entangled_two_invariant,4.0,0.02,10,True,2
entangled_two_invariant,4.0,0.02,11,False,2
entangled_two_invariant,4.0,0.02,12,False,2
entangled_two_invariant,4.0,0.02,13,False,2
entangled_two_invariant,4.0,0.02,14,False,2
entangled_two_invariant,4.0,0.02,15,True,2
entangled_two_invariant,4.0,0.02,16,False,2
entangled_two_invariant,4.0,0.02,17,False,2
entangled_two_invariant,4.0,0.02,18,True,2
entangled_two_invariant,4.0,0.02,19,True,2
entangled_two_invariant,4.0,0.02,20,False,2
entangled_two_invariant,4.0,0.02,21,False,2
entangled_two_invariant,4.0,0.02,22,False,1
entangled_two_invariant,4.0,0.02,23,False,2
entangled_two_invariant,4.0,0.02,24,True,2
entangled_two_invariant,4.0,0.02,25,False,1
entangled_two_invariant,4.0,0.02,26,True,2
entangled_two_invariant,4.0,0.02,27,False,2
entangled_two_invariant,4.0,0.02,28,False,2
entangled_two_invariant,4.0,0.02,29,True,2
entangled_two_invariant,5.0,0.02,0,True,2
entangled_two_invariant,5.0,0.02,1,True,2
entangled_two_invariant,5.0,0.02,2,False,2
entangled_two_invariant,5.0,0.02,3,True,2
entangled_two_invariant,5.0,0.02,4,False,2
entangled_two_invariant,5.0,0.02,5,False,2
entangled_two_invariant,5.0,0.02,6,True,2
entangled_two_invariant,5.0,0.02,7,False,1
entangled_two_invariant,5.0,0.02,8,False,1
entangled_two_invariant,5.0,0.02,9,True,2
entangled_two_invariant,5.0,0.02,10,True,2
entangled_two_invariant,5.0,0.02,11,False,2
entangled_two_invariant,5.0,0.02,12,False,2
entangled_two_invariant,5.0,0.02,13,False,2
entangled_two_invariant,5.0,0.02,14,False,2
entangled_two_invariant,5.0,0.02,15,True,2
entangled_two_invariant,5.0,0.02,16,False,2
entangled_two_invariant,5.0,0.02,17,False,2
entangled_two_invariant,5.0,0.02,18,True,2
entangled_two_invariant,5.0,0.02,19,True,2
entangled_two_invariant,5.0,0.02,20,False,2
entangled_two_invariant,5.0,0.02,21,False,2
entangled_two_invariant,5.0,0.02,22,False,1
entangled_two_invariant,5.0,0.02,23,False,2
entangled_two_invariant,5.0,0.02,24,True,2
entangled_two_invariant,5.0,0.02,25,False,1
entangled_two_invariant,5.0,0.02,26,True,2
entangled_two_invariant,5.0,0.02,27,False,2
entangled_two_invariant,5.0,0.02,28,False,2
entangled_two_invariant,5.0,0.02,29,True,2
entangled_two_invariant,7.0,0.02,0,True,2
entangled_two_invariant,7.0,0.02,1,True,2
entangled_two_invariant,7.0,0.02,2,False,2
entangled_two_invariant,7.0,0.02,3,True,2
entangled_two_invariant,7.0,0.02,4,False,2
entangled_two_invariant,7.0,0.02,5,False,2
entangled_two_invariant,7.0,0.02,6,True,2
entangled_two_invariant,7.0,0.02,7,False,1
entangled_two_invariant,7.0,0.02,8,False,1
entangled_two_invariant,7.0,0.02,9,True,2
entangled_two_invariant,7.0,0.02,10,True,2
entangled_two_invariant,7.0,0.02,11,False,2
entangled_two_invariant,7.0,0.02,12,False,2
entangled_two_invariant,7.0,0.02,13,False,2
entangled_two_invariant,7.0,0.02,14,False,2
entangled_two_invariant,7.0,0.02,15,True,2
entangled_two_invariant,7.0,0.02,16,False,2
entangled_two_invariant,7.0,0.02,17,False,2
entangled_two_invariant,7.0,0.02,18,True,2
entangled_two_invariant,7.0,0.02,19,True,2
entangled_two_invariant,7.0,0.02,20,False,2
entangled_two_invariant,7.0,0.02,21,False,2
entangled_two_invariant,7.0,0.02,22,False,1
entangled_two_invariant,7.0,0.02,23,False,2
entangled_two_invariant,7.0,0.02,24,True,2
entangled_two_invariant,7.0,0.02,25,False,1
entangled_two_invariant,7.0,0.02,26,True,2
entangled_two_invariant,7.0,0.02,27,False,2
entangled_two_invariant,7.0,0.02,28,False,2
entangled_two_invariant,7.0,0.02,29,True,2
